ID	Stromal_score	Immune_score	ESTIMATE_score	CancerType
TCGA-DK-A1AD-01	-597.7634128	252.9509186	-344.8124942	BLCA
TCGA-XF-AAMQ-01	-913.5435188	1025.893252	112.3497333	BLCA
TCGA-FT-A3EE-01	-1290.699063	-220.0465488	-1510.745612	BLCA
TCGA-ZF-AA4T-01	-1897.760531	-471.9079689	-2369.6685	BLCA
TCGA-E7-A3X6-01	-855.7746054	988.966444	133.1918386	BLCA
TCGA-GU-A762-01	149.8877513	2267.37716	2417.264911	BLCA
TCGA-FD-A43S-01	561.1244433	2149.773227	2710.89767	BLCA
TCGA-XF-A8HE-01	-563.9500746	1260.132206	696.1821316	BLCA
TCGA-BT-A42F-01	-462.785679	1926.470468	1463.684789	BLCA
TCGA-G2-A3IB-01	-1650.107777	-214.9212785	-1865.029055	BLCA
TCGA-CU-A3KJ-01	-1199.822027	363.9749673	-835.8470597	BLCA
TCGA-DK-A3IS-01	-1987.952972	-245.9619844	-2233.914957	BLCA
TCGA-E5-A4U1-01	-2141.488646	-972.2246728	-3113.713319	BLCA
TCGA-XF-A8HF-01	-419.8636875	360.1347099	-59.7289776	BLCA
TCGA-KQ-A41P-01	-340.0672665	395.8994359	55.8321694	BLCA
TCGA-BL-A13I-01	607.9654299	2102.894568	2710.859998	BLCA
TCGA-ZF-AA4W-01	-1515.881019	-54.2783042	-1570.159324	BLCA
TCGA-UY-A9PA-01	-1832.478406	714.4591485	-1118.019258	BLCA
TCGA-E5-A2PC-01	-1701.842423	419.4928302	-1282.349593	BLCA
TCGA-UY-A9PE-01	-781.6639471	-299.1102817	-1080.774229	BLCA
TCGA-XF-A9SV-01	-76.0205781	-156.1142601	-232.1348382	BLCA
TCGA-E7-A6MF-01	-2029.52232	-298.3651713	-2327.887491	BLCA
TCGA-ZF-AA56-01	-474.2691909	943.5310171	469.2618262	BLCA
TCGA-DK-AA6X-01	-840.3181766	750.0963665	-90.2218101	BLCA
TCGA-ZF-A9R9-01	408.1489518	418.89693	827.0458818	BLCA
TCGA-DK-AA6S-01	499.7126239	1048.129635	1547.842259	BLCA
TCGA-KQ-A41S-01	41.0386651	199.8239193	240.8625844	BLCA
TCGA-YF-AA3M-01	-1658.992577	-166.5383594	-1825.530937	BLCA
TCGA-CF-A7I0-01	-763.3073623	25.6750864	-737.6322759	BLCA
TCGA-XF-A9T8-01	22.5761955	1859.565496	1882.141692	BLCA
TCGA-CU-A0YR-01	-173.7780507	1205.981825	1032.203775	BLCA
TCGA-GC-A3YS-01	207.4203267	821.0179339	1028.438261	BLCA
TCGA-ZF-AA4N-01	-987.7218479	693.102013	-294.619835	BLCA
TCGA-XF-AAMG-01	-495.5301442	-142.9017567	-638.4319009	BLCA
TCGA-GC-A3RC-01	-626.9358131	1352.266224	725.3304112	BLCA
TCGA-CF-A8HY-01	-1740.580164	-163.9707488	-1904.550913	BLCA
TCGA-ZF-A9RL-01	-2350.990262	-996.3990359	-3347.389298	BLCA
TCGA-XF-A9T0-01	-437.2302824	557.7947049	120.5644224	BLCA
TCGA-UY-A78M-01	-518.6914521	-353.0259604	-871.7174125	BLCA
TCGA-GC-A4ZW-01	-1848.104928	-569.0642714	-2417.169199	BLCA
TCGA-K4-A4AC-01	-737.1892507	905.3177488	168.128498	BLCA
TCGA-G2-A2ES-01	-332.9685397	782.6863437	449.717804	BLCA
TCGA-FJ-A871-01	-1014.421857	-601.6125128	-1616.03437	BLCA
TCGA-GD-A3OP-01	-264.0285752	260.8076417	-3.2209335	BLCA
TCGA-FD-A3SL-01	798.5087054	611.429541	1409.938246	BLCA
TCGA-XF-A9T3-01	212.0697814	919.0607705	1131.130552	BLCA
TCGA-ZF-AA4V-01	-651.1703245	774.8139226	123.6435981	BLCA
TCGA-XF-AAMW-01	-748.7161402	771.5937901	22.8776499	BLCA
TCGA-G2-A2EO-01	171.8172474	1271.645175	1443.462422	BLCA
TCGA-XF-A8HH-01	-92.7534693	221.3482341	128.5947649	BLCA
TCGA-FD-A3B7-01	983.7904175	2080.738298	3064.528715	BLCA
TCGA-K4-A3WU-01	-141.4172434	1453.195899	1311.778656	BLCA
TCGA-CF-A47V-01	-1075.31241	344.3800542	-730.932356	BLCA
TCGA-DK-A3X1-01	-763.7669086	40.3729729	-723.3939356	BLCA
TCGA-4Z-AA81-01	-1434.133051	741.3850741	-692.7479768	BLCA
TCGA-CF-A3MG-01	-2309.954184	-714.5645577	-3024.518742	BLCA
TCGA-S5-AA26-01	-1980.41355	-661.7787405	-2642.19229	BLCA
TCGA-ZF-A9R4-01	-1747.385789	83.5934271	-1663.792362	BLCA
TCGA-GC-A3OO-01	-359.7096147	336.90501	-22.8046047	BLCA
TCGA-YC-A9TC-01	-1100.747021	-215.589485	-1316.336507	BLCA
TCGA-YF-AA3L-01	-1420.501608	-203.8121482	-1624.313756	BLCA
TCGA-XF-A9SJ-01	-42.4783932	1261.654322	1219.175929	BLCA
TCGA-ZF-A9R0-01	-867.8321707	289.6149513	-578.2172193	BLCA
TCGA-BT-A42C-01	-1937.503053	-481.2074987	-2418.710552	BLCA
TCGA-GU-A42P-01	-2113.880534	-1038.470776	-3152.35131	BLCA
TCGA-2F-A9KP-01	-1833.637242	-799.8557111	-2633.492954	BLCA
TCGA-CU-A3QU-01	-2215.517513	-440.7235225	-2656.241035	BLCA
TCGA-DK-AA6Q-01	-1677.674878	1035.537918	-642.1369603	BLCA
TCGA-BT-A20P-01	-1630.695352	-392.892493	-2023.587845	BLCA
TCGA-ZF-A9RN-01	-1363.034283	977.083937	-385.9503461	BLCA
TCGA-GV-A3QI-01	-2106.944915	-1225.619021	-3332.563937	BLCA
TCGA-FD-A5BU-01	143.0873173	1257.16541	1400.252728	BLCA
TCGA-FD-A3NA-01	-605.2573329	585.0870397	-20.1702933	BLCA
TCGA-DK-AA76-01	-1978.822248	-1185.758446	-3164.580694	BLCA
TCGA-DK-A1AA-01	-1641.083985	36.5758463	-1604.508139	BLCA
TCGA-FD-A3B3-01	372.9709419	1880.523257	2253.494199	BLCA
TCGA-FD-A6TF-01	160.2630771	375.6759387	535.9390158	BLCA
TCGA-BT-A20W-01	-907.9341532	516.7928559	-391.1412973	BLCA
TCGA-GU-A767-01	-614.2526613	-223.0868834	-837.3395446	BLCA
